TrainingType,BrainTypeVegan,SurvivorPercentageVegan,SurvivorAvgAgeVegan,BrainTypeCarnivore,SurvivorPercentageCarnivore,SurvivorAvgAgeCarnivore
veg_POCA__carn_SAC,POCA,0.733333349,8169.433000000,SAC,0.533333361,8485.934000000
veg_POCA__carn_SAC,POCA,0.866666700,9168.300000000,SAC,0.133333340,6204.666500000
veg_POCA__carn_SAC,POCA,0.866666700,9359.533000000,SAC,0.133333340,7084.467000000
veg_POCA__carn_SAC,POCA,0.866666700,9143.566000000,SAC,0.200000000,6426.200000000
veg_POCA__carn_SAC,POCA,0.800000000,8795.033000000,SAC,0.200000000,6654.933000000
veg_POCA__carn_SAC,POCA,0.966666639,9666.866000000,SAC,0.266666681,6650.533000000
veg_POCA__carn_SAC,POCA,0.900000000,9308.233000000,SAC,0.400000000,7390.733400000
veg_POCA__carn_SAC,POCA,0.933333337,9622.500000000,SAC,0.266666681,8606.000000000
veg_POCA__carn_SAC,POCA,0.833333300,9188.833000000,SAC,0.200000000,6150.866700000
veg_POCA__carn_SAC,POCA,0.866666700,9050.667000000,SAC,0.333333343,7245.800000000
veg_POCA__carn_SAC,POCA,0.966666639,9738.134000000,SAC,0.400000000,7678.000000000
veg_POCA__carn_SAC,POCA,0.900000000,9425.300000000,SAC,0.133333340,6580.000000000
veg_POCA__carn_SAC,POCA,0.866666700,8958.200000000,SAC,0.066666670,5960.800000000
veg_POCA__carn_SAC,POCA,0.800000000,8986.533000000,SAC,0.400000000,8163.666500000
veg_POCA__carn_SAC,POCA,0.833333300,8952.767000000,SAC,0.266666681,6893.067000000
